              precision    recall  f1-score   support

           0       0.85      0.64      0.73      2150
           1       0.66      0.88      0.76      1141
           2       0.93      0.56      0.69       824
           3       0.62      0.77      0.69       278
           4       0.66      0.75      0.70       279
           5       0.62      0.75      0.68       283
           6       0.78      0.85      0.81       203
           7       0.46      0.74      0.56       149
           8       0.52      0.56      0.54       142
           9       0.38      0.76      0.50       127
          10       0.47      0.89      0.61       100
          11       0.74      0.78      0.76        83
          12       0.42      0.37      0.39        38

    accuracy                           0.71      5797
   macro avg       0.62      0.71      0.65      5797
weighted avg       0.75      0.71      0.71      5797
