              precision    recall  f1-score   support

           0       0.72      0.70      0.71      2150
           1       0.62      0.82      0.70      1141
           2       0.86      0.69      0.76       824
           3       0.57      0.48      0.52       278
           4       0.77      0.62      0.69       279
           5       0.56      0.47      0.51       283
           6       0.62      0.87      0.72       203
           7       0.52      0.41      0.46       149
           8       0.50      0.04      0.08       142
           9       0.32      0.30      0.31       127
          10       0.38      0.85      0.52       100
          11       0.69      0.83      0.75        83
          12       0.00      0.00      0.00        38

    accuracy                           0.67      5797
   macro avg       0.55      0.54      0.52      5797
weighted avg       0.67      0.67      0.66      5797
