              precision    recall  f1-score   support

           0       0.76      0.66      0.71      2150
           1       0.60      0.84      0.70      1141
           2       0.86      0.69      0.77       824
           3       0.60      0.49      0.54       278
           4       0.83      0.54      0.65       279
           5       0.66      0.47      0.55       283
           6       0.60      0.88      0.71       203
           7       0.50      0.47      0.49       149
           8       0.43      0.16      0.23       142
           9       0.24      0.54      0.33       127
          10       0.43      0.80      0.56       100
          11       0.74      0.86      0.79        83
          12       0.00      0.00      0.00        38

    accuracy                           0.67      5797
   macro avg       0.56      0.57      0.54      5797
weighted avg       0.69      0.67      0.66      5797
